t,asset,p_bull,q0,q1,q2,q3,q4
76,SPX,0.6000000238418579,-0.03397554159164429,-0.016301415860652924,0.0035524070262908936,0.011549077928066254,0.039448074996471405
76,CMC200,0.4000000059604645,-0.10417668521404266,-0.03413224220275879,-0.006552383303642273,0.033953528851270676,0.09259422868490219
77,SPX,0.6000000238418579,-0.03397553414106369,-0.01630140095949173,0.0035523995757102966,0.011549077928066254,0.039448074996471405
77,CMC200,0.4000000059604645,-0.10417667776346207,-0.03413224220275879,-0.006552383303642273,0.03395352140069008,0.0925942212343216
78,SPX,0.6000000238418579,-0.03397554159164429,-0.01630140095949173,0.0035523995757102966,0.011549077928066254,0.039448074996471405
78,CMC200,0.4000000059604645,-0.10417668521404266,-0.03413224220275879,-0.006552383303642273,0.033953528851270676,0.0925942212343216
79,SPX,0.6000000238418579,-0.03397554159164429,-0.016301408410072327,0.0035523995757102966,0.011549081653356552,0.039448074996471405
79,CMC200,0.4000000059604645,-0.10417668521404266,-0.03413224220275879,-0.006552383303642273,0.03395352140069008,0.0925942212343216
80,SPX,0.6000000238418579,-0.03397553786635399,-0.016301415860652924,0.0035524070262908936,0.011549089103937149,0.039448074996471405
80,CMC200,0.4000000059604645,-0.10417668521404266,-0.03413224220275879,-0.006552383303642273,0.033953528851270676,0.09259422868490219
81,SPX,0.6000000238418579,-0.03397554159164429,-0.016301415860652924,0.0035524070262908936,0.011549081653356552,0.039448074996471405
81,CMC200,0.4000000059604645,-0.10417668521404266,-0.03413223847746849,-0.006552383303642273,0.033953528851270676,0.09259422868490219
82,SPX,0.6000000238418579,-0.03397554159164429,-0.01630142331123352,0.0035524070262908936,0.011549074202775955,0.039448074996471405
82,CMC200,0.4000000059604645,-0.10417667776346207,-0.03413224220275879,-0.006552383303642273,0.03395353630185127,0.09259422868490219
83,SPX,0.6000000238418579,-0.03397554159164429,-0.016301415860652924,0.0035524070262908936,0.011549074202775955,0.03944806754589081
83,CMC200,0.4000000059604645,-0.10417668521404266,-0.03413223847746849,-0.006552383303642273,0.03395353630185127,0.0925942212343216
84,SPX,0.6000000238418579,-0.03397553786635399,-0.016301415860652924,0.0035524070262908936,0.011549074202775955,0.039448074996471405
84,CMC200,0.4000000059604645,-0.10417668521404266,-0.03413223847746849,-0.006552383303642273,0.033953528851270676,0.0925942212343216
85,SPX,0.6000000238418579,-0.033975545316934586,-0.016301408410072327,0.0035524070262908936,0.011549081653356552,0.039448074996471405
85,CMC200,0.4000000059604645,-0.10417668521404266,-0.03413224220275879,-0.006552383303642273,0.03395353630185127,0.0925942212343216
86,SPX,0.6000000238418579,-0.033975545316934586,-0.016301408410072327,0.0035524070262908936,0.011549081653356552,0.039448074996471405
86,CMC200,0.4000000059604645,-0.10417668521404266,-0.03413224220275879,-0.006552383303642273,0.033953528851270676,0.0925942212343216
87,SPX,0.6000000238418579,-0.03397554159164429,-0.01630140095949173,0.0035523995757102966,0.011549089103937149,0.039448074996471405
87,CMC200,0.4000000059604645,-0.10417668521404266,-0.03413224220275879,-0.006552383303642273,0.03395352140069008,0.0925942212343216
88,SPX,0.6000000238418579,-0.033975545316934586,-0.016301415860652924,0.0035524070262908936,0.011549074202775955,0.039448074996471405
88,CMC200,0.4000000059604645,-0.10417668521404266,-0.03413224592804909,-0.006552383303642273,0.033953528851270676,0.0925942212343216
89,SPX,0.6000000238418579,-0.03397554159164429,-0.01630142331123352,0.0035524070262908936,0.011549074202775955,0.039448074996471405
89,CMC200,0.4000000059604645,-0.10417667776346207,-0.03413224220275879,-0.006552383303642273,0.033953528851270676,0.0925942212343216
90,SPX,0.6000000238418579,-0.033975545316934586,-0.016301415860652924,0.0035524070262908936,0.011549074202775955,0.039448074996471405
90,CMC200,0.4000000059604645,-0.10417667776346207,-0.03413224220275879,-0.006552383303642273,0.03395353630185127,0.0925942212343216
91,SPX,0.6000000238418579,-0.03397554159164429,-0.016301415860652924,0.0035524070262908936,0.011549081653356552,0.039448074996471405
91,CMC200,0.4000000059604645,-0.10417667776346207,-0.03413224220275879,-0.006552383303642273,0.03395352140069008,0.0925942212343216
92,SPX,0.6000000238418579,-0.03397554159164429,-0.016301408410072327,0.0035524070262908936,0.011549074202775955,0.03944806754589081
92,CMC200,0.4000000059604645,-0.10417667776346207,-0.03413224220275879,-0.006552383303642273,0.033953528851270676,0.0925942212343216
93,SPX,0.6000000238418579,-0.03397554159164429,-0.016301408410072327,0.0035524070262908936,0.011549081653356552,0.039448074996471405
93,CMC200,0.4000000059604645,-0.10417668521404266,-0.03413224220275879,-0.006552383303642273,0.033953528851270676,0.0925942212343216
94,SPX,0.6000000238418579,-0.03397554159164429,-0.016301408410072327,0.0035524070262908936,0.011549074202775955,0.03944806754589081
94,CMC200,0.4000000059604645,-0.10417668521404266,-0.03413224220275879,-0.006552383303642273,0.033953528851270676,0.0925942212343216
95,SPX,0.6000000238418579,-0.033975545316934586,-0.01630142331123352,0.0035524144768714905,0.011549081653356552,0.039448074996471405
95,CMC200,0.4000000059604645,-0.10417667776346207,-0.034132231026887894,-0.006552383303642273,0.03395352140069008,0.0925942212343216
96,SPX,0.6000000238418579,-0.03397554159164429,-0.016301415860652924,0.0035524070262908936,0.011549081653356552,0.039448074996471405
96,CMC200,0.4000000059604645,-0.10417668521404266,-0.03413224220275879,-0.006552383303642273,0.03395353630185127,0.0925942212343216
97,SPX,0.6000000238418579,-0.033975545316934586,-0.016301415860652924,0.0035524070262908936,0.011549081653356552,0.039448074996471405
97,CMC200,0.4000000059604645,-0.10417668521404266,-0.03413224220275879,-0.006552383303642273,0.03395353630185127,0.0925942212343216
98,SPX,0.6000000238418579,-0.033975545316934586,-0.01630142331123352,0.0035524144768714905,0.011549081653356552,0.039448074996471405
98,CMC200,0.4000000059604645,-0.10417667776346207,-0.03413223847746849,-0.006552383303642273,0.033953528851270676,0.09259422868490219
99,SPX,0.6000000238418579,-0.033975549042224884,-0.01630142331123352,0.0035524144768714905,0.011549081653356552,0.03944806754589081
99,CMC200,0.4000000059604645,-0.10417668521404266,-0.03413224220275879,-0.006552383303642273,0.03395353630185127,0.09259422868490219
100,SPX,0.6000000238418579,-0.033975545316934586,-0.01630142331123352,0.0035524070262908936,0.011549074202775955,0.039448074996471405
100,CMC200,0.4000000059604645,-0.10417667031288147,-0.03413223847746849,-0.006552383303642273,0.033953528851270676,0.0925942212343216
101,SPX,0.6000000238418579,-0.033975545316934586,-0.01630142331123352,0.0035524144768714905,0.011549074202775955,0.039448074996471405
101,CMC200,0.4000000059604645,-0.10417667776346207,-0.03413223847746849,-0.006552383303642273,0.033953528851270676,0.09259422868490219
102,SPX,0.6000000238418579,-0.03397554159164429,-0.01630142331123352,0.0035524144768714905,0.011549074202775955,0.039448074996471405
102,CMC200,0.4000000059604645,-0.10417667776346207,-0.03413224220275879,-0.006552383303642273,0.033953528851270676,0.09259422868490219
103,SPX,0.6000000238418579,-0.03397554159164429,-0.01630142331123352,0.0035524070262908936,0.011549066752195358,0.039448074996471405
103,CMC200,0.4000000059604645,-0.10417667776346207,-0.03413223847746849,-0.006552383303642273,0.03395353630185127,0.09259422868490219
104,SPX,0.6000000238418579,-0.033975549042224884,-0.01630142331123352,0.0035524070262908936,0.011549074202775955,0.03944806754589081
104,CMC200,0.4000000059604645,-0.10417668521404266,-0.03413224220275879,-0.006552383303642273,0.03395353630185127,0.0925942212343216
105,SPX,0.6000000238418579,-0.03397554159164429,-0.01630142331123352,0.0035524070262908936,0.011549081653356552,0.03944806754589081
105,CMC200,0.4000000059604645,-0.10417668521404266,-0.03413224220275879,-0.006552383303642273,0.03395353630185127,0.0925942212343216
106,SPX,0.6000000238418579,-0.033975549042224884,-0.01630142331123352,0.0035524070262908936,0.011549081653356552,0.03944806754589081
106,CMC200,0.4000000059604645,-0.10417668521404266,-0.03413224220275879,-0.006552383303642273,0.03395353630185127,0.09259422868490219
107,SPX,0.6000000238418579,-0.033975549042224884,-0.01630142331123352,0.0035524070262908936,0.011549074202775955,0.03944806754589081
107,CMC200,0.4000000059604645,-0.10417667776346207,-0.03413224220275879,-0.006552383303642273,0.03395353630185127,0.09259422868490219
108,SPX,0.6000000238418579,-0.033975549042224884,-0.01630142331123352,0.0035524070262908936,0.011549074202775955,0.03944806754589081
108,CMC200,0.4000000059604645,-0.10417667776346207,-0.03413223847746849,-0.006552383303642273,0.033953528851270676,0.09259422868490219
109,SPX,0.6000000238418579,-0.033975549042224884,-0.01630142331123352,0.0035524144768714905,0.011549081653356552,0.03944806754589081
