quintil,t,SPX_ret,SPX_cumret,CMC200_ret,CMC200_cumret
3,6,0.045738,-0.054130,0.107807,-0.151692
3,7,0.016777,-0.038261,0.028526,-0.127493
3,8,-0.031796,-0.068840,-0.082725,-0.199671
3,9,0.044422,-0.027476,0.105350,-0.115356
3,10,0.043626,0.014952,0.104083,-0.023280
3,11,-0.034725,-0.020292,-0.081380,-0.102766
3,12,-0.034027,-0.053628,-0.078857,-0.173519
3,13,-0.006394,-0.059679,-0.015106,-0.186004
3,14,0.002630,-0.057206,0.005740,-0.181332
3,15,0.015287,-0.042794,0.026306,-0.159796
3,16,-0.030882,-0.072355,-0.082610,-0.229205
3,17,-0.029695,-0.099901,-0.080982,-0.291626
3,18,0.014593,-0.086766,0.024901,-0.273986
3,19,0.002554,-0.084433,0.008616,-0.267731
3,20,0.016128,-0.069668,0.026455,-0.248359
3,21,0.003566,-0.066350,0.006942,-0.243141
3,22,-0.007214,-0.073085,-0.016151,-0.255365
3,23,0.045546,-0.030867,0.104963,-0.177206
3,24,0.044565,0.012322,0.103851,-0.091758
3,25,0.020079,0.032649,0.035354,-0.059648
3,26,-0.037941,-0.006531,-0.079908,-0.134790
3,27,-0.008060,-0.014538,-0.021124,-0.153067
3,28,0.044759,0.029570,0.103123,-0.065729
3,29,0.017372,0.047456,0.031522,-0.036279
3,30,-0.008524,0.038528,-0.019944,-0.055500
3,31,0.017432,0.056632,0.030738,-0.026468
3,32,-0.007870,0.048317,-0.019743,-0.045689
3,33,0.044569,0.095039,0.103070,0.052672
3,34,-0.008528,0.085700,-0.019865,0.031761
3,35,-0.007995,0.077020,-0.019894,0.011235
3,36,-0.033680,0.040746,-0.079577,-0.069236
3,37,0.015423,0.056797,0.027483,-0.043655
3,38,-0.005912,0.050550,-0.014509,-0.057531
3,39,-0.005907,0.044344,-0.014265,-0.070975
3,40,-0.005807,0.038279,-0.014122,-0.084094
3,41,-0.030323,0.006796,-0.081935,-0.159139
3,42,0.015182,0.022080,0.025882,-0.137376
3,43,-0.005595,0.016362,-0.012283,-0.147971
3,44,-0.029807,-0.013933,-0.082473,-0.218241
3,45,0.045259,0.030696,0.107724,-0.134026
3,46,0.002843,0.033626,0.007045,-0.127926
3,47,0.003381,0.037121,0.005942,-0.122744
3,48,0.003627,0.040883,0.004949,-0.118402
3,49,0.017696,0.059302,0.029493,-0.092401
3,50,-0.007612,0.051239,-0.018351,-0.109057
3,51,-0.033340,0.016191,-0.080513,-0.180789
3,52,-0.005805,0.010292,-0.014919,-0.193011
3,53,0.003593,0.013921,0.006166,-0.188035
3,54,0.015607,0.029746,0.026782,-0.166289
3,55,0.045165,0.076255,0.105265,-0.078528
3,56,0.044266,0.123896,0.103929,0.017239
3,57,-0.010011,0.112645,-0.021664,-0.004799
3,58,0.044645,0.162319,0.101543,0.096257
3,59,-0.009723,0.151017,-0.023762,0.070208
3,60,0.044407,0.202130,0.100965,0.178262
3,61,-0.009326,0.190918,-0.023440,0.150643
3,62,-0.008389,0.180927,-0.022535,0.124713
3,63,-0.034964,0.139637,-0.078620,0.036288
3,64,0.044794,0.190686,0.104347,0.144422
3,65,-0.031651,0.153000,-0.081046,0.051671
3,66,0.003366,0.156881,0.004712,0.056627
3,67,0.003378,0.160789,0.005412,0.062346
3,68,-0.006424,0.153332,-0.014551,0.046888
3,69,0.016165,0.171976,0.027562,0.075743
3,70,-0.031725,0.134795,-0.082022,-0.012492
3,71,-0.005978,0.128011,-0.013727,-0.026048
3,72,-0.029724,0.094482,-0.081277,-0.105208
3,73,0.002716,0.097455,0.008261,-0.097815
3,74,-0.004942,0.092031,-0.010922,-0.107669
3,75,-0.005200,0.086353,-0.011575,-0.117997
3,76,0.046154,0.136493,0.106819,-0.023782
3,77,0.003539,0.140515,0.006414,-0.017521
3,78,0.045359,0.192248,0.104013,0.084670
3,79,-0.009383,0.181061,-0.020439,0.062500
3,80,0.019091,0.203609,0.032185,0.096696
3,81,-0.008425,0.193468,-0.021314,0.073320
3,82,0.017606,0.214480,0.030584,0.106146
3,83,0.017407,0.235620,0.030804,0.140220
3,84,0.017618,0.257390,0.031384,0.176005
3,85,0.017875,0.279866,0.031909,0.213530
3,86,0.004641,0.285805,0.000201,0.213774
3,87,0.004641,0.291773,0.000269,0.214101
3,88,0.017238,0.314041,0.030760,0.251446
3,89,0.017319,0.336799,0.031107,0.290375
3,90,0.017604,0.360332,0.031620,0.331176
3,91,0.004766,0.366815,0.000116,0.331331
3,92,-0.008093,0.355753,-0.020959,0.303428
3,93,-0.034452,0.309045,-0.079320,0.200040
3,94,0.004083,0.314389,0.003315,0.204019
3,95,-0.005574,0.307063,-0.014326,0.186770
3,96,0.045157,0.366087,0.105639,0.312140
